"","SiteYearLine","Site","Year","CanolaLine","Week","SampleID","SiteYear","s2","s","s.std","s.rev","Yield","yield.std","importance1","importance2","importance3"
"146","L.2016.NAM-79","L",2016,"NAM-79",6,"L.2016.NAM-79.06.R","L.2016",13976.1167845649,118.22062757643,0.465796790068901,692.755304234813,1447.26666666667,0.0488840125912805,0.0203473939526096,0.058260214492966,0.039029573574043
"147","L.2016.NAM-79","L",2016,"NAM-79",7,"L.2016.NAM-79.07.R","L.2016",13976.1167845649,118.22062757643,0.465796790068901,692.755304234813,1447.26666666667,0.0488840125912805,0.0203473939526096,0.058260214492966,0.039029573574043
"148","L.2016.NAM-79","L",2016,"NAM-79",8,"L.2016.NAM-79.08.R","L.2016",13976.1167845649,118.22062757643,0.465796790068901,692.755304234813,1447.26666666667,0.0488840125912805,0.0203473939526096,0.058260214492966,0.039029573574043
"149","L.2016.NAM-79","L",2016,"NAM-79",9,"L.2016.NAM-79.09.R","L.2016",13976.1167845649,118.22062757643,0.465796790068901,692.755304234813,1447.26666666667,0.0488840125912805,0.0203473939526096,0.058260214492966,0.039029573574043
"150","L.2016.NAM-79","L",2016,"NAM-79",10,"L.2016.NAM-79.10.R","L.2016",13976.1167845649,118.22062757643,0.465796790068901,692.755304234813,1447.26666666667,0.0488840125912805,0.0203473939526096,0.058260214492966,0.039029573574043
"151","L.2016.YN04-C1213","L",2016,"YN04-C1213",1,"L.2016.YN04-C1213.01.R","L.2016",45.0569644908262,6.71244847211703,0.835000536652232,804.263483339126,2655.13666666667,0.637053562333494,0.260701010131388,0.323092244644608,0.262567031618989
"152","L.2016.YN04-C1213","L",2016,"YN04-C1213",2,"L.2016.YN04-C1213.02.R","L.2016",45.0569644908262,6.71244847211703,0.835000536652232,804.263483339126,2655.13666666667,0.637053562333494,0.260701010131388,0.323092244644608,0.262567031618989
"153","L.2016.YN04-C1213","L",2016,"YN04-C1213",3,"L.2016.YN04-C1213.03.R","L.2016",45.0569644908262,6.71244847211703,0.835000536652232,804.263483339126,2655.13666666667,0.637053562333494,0.260701010131388,0.323092244644608,0.262567031618989
"154","L.2016.YN04-C1213","L",2016,"YN04-C1213",4,"L.2016.YN04-C1213.04.R","L.2016",45.0569644908262,6.71244847211703,0.835000536652232,804.263483339126,2655.13666666667,0.637053562333494,0.260701010131388,0.323092244644608,0.262567031618989
"155","L.2016.YN04-C1213","L",2016,"YN04-C1213",5,"L.2016.YN04-C1213.05.R","L.2016",45.0569644908262,6.71244847211703,0.835000536652232,804.263483339126,2655.13666666667,0.637053562333494,0.260701010131388,0.323092244644608,0.262567031618989
